state,abbrev,code,lower_code
Alabama,Ala.,AL,al
Alaska,Alaska,AK,ak
Arizona,Ariz.,AZ,az
Arkansas,Ark.,AR,ar
California,Calif.,CA,ca
Colorado,Colo.,CO,co
Connecticut,Conn.,CT,ct
Delaware,Del.,DE,de
District of Columbia,D.C.,DC,dc
Florida,Fla.,FL,fl
Georgia,Ga.,GA,ga
Hawaii,Hawaii,HI,hi
Idaho,Idaho,ID,id
Illinois,Ill.,IL,il
Indiana,Ind.,IN,in
Iowa,Iowa,IA,ia
Kansas,Kans.,KS,ks
Kentucky,Ky.,KY,ky
Louisiana,La.,LA,la
Maine,Maine,ME,me
Maryland,Md.,MD,md
Massachusetts,Mass.,MA,ma
Michigan,Mich.,MI,mi
Minnesota,Minn.,MN,mn
Mississippi,Miss.,MS,ms
Missouri,Mo.,MO,mo
Montana,Mont.,MT,mt
Nebraska,Nebr.,NE,ne
Nevada,Nev.,NV,nv
New Hampshire,N.H.,NH,nh
New Jersey,N.J.,NJ,nj
New Mexico,N.M.,NM,nm
New York,N.Y.,NY,ny
North Carolina,N.C.,NC,nv
North Dakota,N.D.,ND,nd
Ohio,Ohio,OH,oh
Oklahoma,Okla.,OK,ok
Oregon,Ore.,OR,or
Pennsylvania,Pa.,PA,pa
Rhode Island,R.I.,RI,ri
South Carolina,S.C.,SC,sc
South Dakota,S.D.,SD,sd
Tennessee,Tenn.,TN,tn
Texas,Tex.,TX,tx
Utah,Utah,UT,ut
Vermont,Vt.,VT,vt
Virginia,Va.,VA,va
Washington,Wash.,WA,wa
West Virginia,W.Va.,WV,wv
Wisconsin,Wis.,WI,wi
Wyoming,Wyo.,WY,wy
